SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN,HIGH,LOW,LAST,CLOSE,VWAP,VOLUME,TURNOVER,TOTAL_TRADES,DELIVERABLE_QTY,DELIVERABLE_PCT
DEMOSTK,EQ,02-JUN-2026,1470.5,1469.92,1474.58,1465.75,1471.7,1471.7,1470.68,1528528,2247975559.04,34735,674143,44.1
DEMOSTK,EQ,03-JUN-2026,1471.7,1472.4,1480.36,1469.07,1474.39,1474.39,1474.61,1814674,2675936427.14,25218,674099,37.15
DEMOSTK,EQ,04-JUN-2026,1474.39,1474.08,1478.31,1468.94,1475.99,1475.99,1474.41,1138561,1678705724.01,31919,405070,35.58
DEMOSTK,EQ,05-JUN-2026,1475.99,1476.05,1483.08,1472.33,1481.35,1481.35,1478.92,856712,1267008511.04,39842,412958,48.2
DEMOSTK,EQ,08-JUN-2026,1481.35,1482.08,1491.97,1479.77,1487.49,1487.49,1486.41,1569025,2332214450.25,44761,614682,39.18
DEMOSTK,EQ,09-JUN-2026,1487.49,1487.56,1497.05,1484.91,1492.15,1492.15,1491.37,1267752,1890687300.24,35094,700911,55.29
DEMOSTK,EQ,10-JUN-2026,1492.15,1492.86,1503.33,1487.77,1498.3,1498.3,1496.47,2351626,3519137760.22,41323,956370,40.67
DEMOSTK,EQ,11-JUN-2026,1498.3,1498.01,1502.72,1496.87,1501.58,1501.58,1500.39,1385983,2079515033.37,30474,574896,41.48
DEMOSTK,EQ,12-JUN-2026,1501.58,1502.49,1505.73,1494.57,1500.26,1500.26,1500.19,1532995,2299783769.05,26948,567414,37.01
DEMOSTK,EQ,15-JUN-2026,1500.26,1500.2,1502.89,1492.2,1495.61,1495.61,1496.9,2079812,3113270582.8,42539,728926,35.05
DEMOSTK,EQ,16-JUN-2026,1495.61,1495.3,1499.52,1488.77,1493.94,1493.94,1494.08,1051456,1570959380.48,44811,470141,44.71
DEMOSTK,EQ,17-JUN-2026,1493.94,1493.34,1498.79,1488.02,1491.19,1491.19,1492.67,2133457,3184547260.19,25895,792979,37.17
DEMOSTK,EQ,18-JUN-2026,1491.19,1491.63,1494.95,1485.69,1490.41,1490.41,1490.35,978088,1457693450.8,38750,381174,38.97
DEMOSTK,EQ,19-JUN-2026,1490.41,1489.47,1493.42,1485.11,1488.44,1488.44,1488.99,2175434,3239199471.66,19789,1094011,50.29
DEMOSTK,EQ,22-JUN-2026,1488.44,1488.39,1494.08,1483.99,1485.77,1485.77,1487.95,1949838,2901261452.1,19292,692873,35.53
DEMOSTK,EQ,23-JUN-2026,1485.77,1486.22,1487.73,1479.67,1484.42,1484.42,1483.94,1092029,1620505514.26,29215,651545,59.66
DEMOSTK,EQ,24-JUN-2026,1484.42,1485.17,1486.31,1478.89,1480.95,1480.95,1482.05,1851012,2743292334.6,22881,1001249,54.09
DEMOSTK,EQ,25-JUN-2026,1480.95,1481.04,1486.21,1476.04,1477.34,1477.34,1479.86,2351729,3480229677.94,26592,1350894,57.44
DEMOSTK,EQ,26-JUN-2026,1477.34,1477.97,1481.55,1470.48,1475.62,1475.62,1475.88,1852034,2733379939.92,19284,894451,48.3
DEMOSTK,EQ,29-JUN-2026,1475.62,1474.66,1477.86,1469.83,1471.75,1471.75,1473.15,808247,1190669068.05,40429,444368,54.98
DEMOSTK,EQ,30-JUN-2026,1471.75,1471.7,1476.33,1463.61,1467.39,1467.39,1469.11,1483634,2179621545.74,37358,711531,47.96
DEMOSTK,EQ,01-JUL-2026,1467.39,1467.96,1469.49,1461.38,1465.18,1465.18,1465.35,1321130,1935917845.5,21268,553856,41.92
DEMOSTK,EQ,02-JUL-2026,1465.18,1465.2,1469.01,1458.49,1463.29,1463.29,1463.6,932894,1365383658.4,29524,402453,43.14
DEMOSTK,EQ,03-JUL-2026,1463.29,1463.5,1465.5,1460.0,1462.39,1462.39,1462.63,1865680,2728799538.4,32474,1029557,55.18
DEMOSTK,EQ,06-JUL-2026,1462.39,1461.89,1465.51,1453.54,1458.92,1458.92,1459.32,1344404,1961915645.28,33334,770597,57.32
DEMOSTK,EQ,07-JUL-2026,1458.92,1458.82,1461.9,1451.67,1454.63,1454.63,1456.07,1462657,2129730977.99,17377,757347,51.78
DEMOSTK,EQ,08-JUL-2026,1454.63,1454.06,1456.57,1449.16,1450.77,1450.77,1452.17,2429345,3527821928.65,20060,1420865,58.49
DEMOSTK,EQ,09-JUL-2026,1450.77,1450.5,1452.77,1446.38,1448.07,1448.07,1449.07,1780913,2580667600.91,22195,955763,53.67
DEMOSTK,EQ,10-JUL-2026,1448.07,1448.84,1450.65,1439.88,1444.22,1444.22,1444.92,1269158,1833831777.36,20290,668314,52.66
DEMOSTK,EQ,13-JUL-2026,1444.22,1444.03,1447.14,1440.23,1443.01,1443.01,1443.46,993344,1433852330.24,38663,438549,44.15
DEMOSTK,EQ,14-JUL-2026,1443.01,1442.93,1447.45,1436.36,1439.28,1439.28,1441.03,1885137,2716538971.11,35444,799040,42.39
DEMOSTK,EQ,15-JUL-2026,1439.28,1438.51,1444.1,1435.21,1437.35,1437.35,1438.89,1019738,1467290810.82,17754,424609,41.64
DEMOSTK,EQ,16-JUL-2026,1437.35,1437.91,1440.26,1431.42,1433.07,1433.07,1434.92,1685531,2418602142.52,42839,973989,57.79
DEMOSTK,EQ,17-JUL-2026,1433.07,1432.59,1434.34,1425.27,1430.87,1430.87,1430.16,1996624,2855491779.84,31207,1048435,52.51
DEMOSTK,EQ,20-JUL-2026,1430.87,1429.99,1434.43,1422.22,1425.35,1425.35,1427.33,951863,1358622615.79,23812,556447,58.46
DEMOSTK,EQ,21-JUL-2026,1425.35,1425.95,1427.37,1418.21,1423.49,1423.49,1423.02,939717,1337236085.34,23665,531592,56.57
DEMOSTK,EQ,22-JUL-2026,1423.49,1423.17,1426.94,1414.36,1419.99,1419.99,1420.43,1361742,1934259189.06,35371,520602,38.23
DEMOSTK,EQ,23-JUL-2026,1419.99,1419.47,1421.02,1414.77,1416.58,1416.58,1417.46,905653,1283726901.38,20935,362661,40.04
