INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
OPTSTK,DEMOSTK,28-MAY-2026,1640,PE,237.89,242.37,236.66,239.57,239.57,2568,153.8,10081,-311,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1660,CE,4.64,6.29,2.48,2.99,2.99,1749,1.31,23522,-384,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1660,PE,260.97,263.9,259.23,260.01,260.01,2736,177.85,16641,-72,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1680,CE,3.66,4.02,1.05,2.98,2.98,357,0.27,14623,3201,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1680,PE,282.85,283.52,280.13,282.86,282.86,1893,133.86,29011,-2713,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1700,CE,2.26,3.8,0.59,3.28,3.28,1357,1.11,16671,1034,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1700,PE,300.11,302.77,297.58,299.83,299.83,1740,130.43,26089,1781,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1300,CE,114.78,116.75,112.52,115.94,115.94,2090,60.58,19187,4409,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1300,PE,15.75,18.76,13.86,17.25,17.25,934,4.03,7068,-560,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1320,CE,99.99,102.39,98.69,100.45,100.45,1328,33.35,2429,-2916,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1320,PE,4.09,6.78,1.83,3.25,3.25,2455,1.99,33101,-4998,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1340,CE,68.26,71.04,64.96,66.54,66.54,1967,32.72,30422,-930,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1340,PE,17.21,18.77,14.29,18.31,18.31,496,2.27,48299,2492,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1360,CE,48.37,48.37,46.88,47.26,47.26,2382,28.14,3463,-23,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1360,PE,24.65,26.23,22.83,24.14,24.14,509,3.07,7517,-3848,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1380,CE,34.64,35.22,32.09,32.87,32.87,2511,20.63,1075,-4829,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1380,PE,18.38,19.22,15.44,16.39,16.39,1042,4.27,32149,3622,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1400,CE,11.11,15.0,9.0,12.12,12.12,1309,3.97,4624,-4644,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1400,PE,10.51,12.45,8.73,8.97,8.97,983,2.2,44735,1952,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1420,CE,24.96,26.15,23.95,26.05,26.05,1772,11.54,24744,1493,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1420,PE,27.58,29.8,24.88,26.39,26.39,890,5.87,33485,-1717,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1440,CE,11.55,12.24,9.61,10.27,10.27,1258,3.23,8143,3122,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1440,PE,56.34,57.8,52.02,54.75,54.75,281,3.85,39980,-2602,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1460,CE,19.71,21.56,17.92,21.49,21.49,1751,9.41,4397,-4015,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1460,PE,64.45,66.79,63.51,64.65,64.65,513,8.29,6201,-2287,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1480,CE,7.39,11.46,5.15,8.65,8.65,180,0.39,21435,1203,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1480,PE,97.61,98.94,95.34,95.67,95.67,370,8.85,19337,-3677,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1500,CE,9.81,10.18,5.1,7.99,7.99,899,1.8,25912,843,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1500,PE,111.72,114.9,111.46,112.49,112.49,2938,82.62,32028,-1794,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1520,CE,8.91,9.49,6.14,7.23,7.23,1993,3.6,2984,1730,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1520,PE,123.92,125.13,122.29,123.42,123.42,1950,60.17,5101,-3985,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1540,CE,5.78,8.48,3.77,4.79,4.79,1165,1.4,22952,-4286,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1540,PE,143.62,144.57,141.92,142.75,142.75,65,2.32,48288,4757,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1560,CE,10.79,13.62,10.18,10.25,10.25,1007,2.58,8029,2785,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1560,PE,166.09,168.56,163.72,166.23,166.23,1811,75.26,33340,-2826,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1580,CE,6.84,10.52,4.62,8.11,8.11,2884,5.85,10916,4949,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1580,PE,182.26,183.64,178.47,180.82,180.82,2490,112.56,6178,3386,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1600,CE,2.91,3.65,1.71,1.9,1.9,188,0.09,32568,4053,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1600,PE,200.32,202.96,200.0,201.68,201.68,345,17.39,18359,-3623,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1620,CE,1.56,4.85,0.05,1.88,1.88,759,0.36,16348,-2823,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1620,PE,221.35,223.37,218.63,220.87,220.87,2771,153.01,8940,-185,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1640,CE,2.6,3.72,0.12,2.33,2.33,865,0.5,29796,-947,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1640,PE,238.61,240.51,235.89,239.67,239.67,821,49.19,22386,-3939,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1660,CE,4.83,6.35,2.17,2.86,2.86,461,0.33,43816,2600,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1660,PE,262.26,265.27,259.8,263.85,263.85,1886,124.41,25502,-4339,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1680,CE,4.29,5.51,2.49,5.36,5.36,2438,3.27,13724,-3770,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1680,PE,282.1,283.45,279.86,280.64,280.64,2772,194.48,1415,-3267,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1700,CE,4.95,6.0,4.0,4.11,4.11,1442,1.48,10264,-4277,01-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1700,PE,298.78,301.56,296.83,299.76,299.76,883,66.17,1745,361,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1300,CE,110.17,112.54,109.94,110.68,110.68,178,4.93,33481,3979,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1300,PE,7.38,10.14,5.39,7.75,7.75,683,1.32,42889,3749,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1320,CE,85.88,89.32,84.65,87.23,87.23,1210,26.39,44765,39,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1320,PE,6.11,10.14,3.46,7.9,7.9,1746,3.45,28292,-4702,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1340,CE,81.6,82.69,79.02,79.61,79.61,1708,33.99,14347,-4904,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1340,PE,7.74,9.45,7.47,9.11,9.11,2416,5.5,24902,2551,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1360,CE,58.26,59.9,57.83,59.74,59.74,1674,25.0,6834,4385,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1360,PE,12.79,14.82,12.35,13.31,13.31,1210,4.03,11604,3538,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1380,CE,28.24,31.12,25.98,29.97,29.97,858,6.43,20766,-2925,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1380,PE,16.82,21.39,15.88,18.65,18.65,2538,11.83,42704,1355,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1400,CE,9.61,11.67,6.09,8.76,8.76,2672,5.85,15553,1627,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1400,PE,14.52,17.16,12.82,15.74,15.74,220,0.87,27197,3485,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1420,CE,5.48,6.49,2.57,6.04,6.04,838,1.27,3693,4213,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1420,PE,36.23,38.23,34.57,35.54,35.54,1646,14.62,40290,2466,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1440,CE,13.03,13.95,11.26,12.52,12.52,2436,7.62,17335,1975,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1440,PE,45.29,47.33,44.75,45.82,45.82,64,0.73,41559,3019,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1460,CE,9.77,11.84,7.31,9.98,9.98,785,1.96,32012,1559,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1460,PE,58.88,61.66,58.6,60.37,60.37,1860,28.07,34052,3358,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1480,CE,9.89,12.12,7.12,11.73,11.73,1335,3.91,48211,3380,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1480,PE,80.55,83.23,77.58,79.54,79.54,607,12.07,2694,-3913,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1500,CE,15.65,18.09,14.14,14.72,14.72,2064,7.6,19866,-2295,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1500,PE,107.79,108.45,104.41,106.91,106.91,2550,68.16,17529,-2399,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1520,CE,5.77,8.49,3.95,5.32,5.32,1091,1.45,33913,2866,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1520,PE,119.24,121.71,118.28,120.19,120.19,200,6.01,14037,-2017,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1540,CE,5.83,6.66,4.3,5.28,5.28,1593,2.1,12058,-670,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1540,PE,138.83,140.74,137.63,138.71,138.71,1905,66.06,37384,3543,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1560,CE,7.26,7.57,2.75,5.73,5.73,2629,3.77,26837,1086,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1560,PE,161.39,163.12,158.35,159.43,159.43,383,15.27,29985,-1231,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1580,CE,3.0,3.14,0.05,2.03,2.03,1088,0.55,21320,4598,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1580,PE,184.39,186.59,180.57,182.81,182.81,957,43.74,10788,-233,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1600,CE,3.18,4.99,0.49,3.45,3.45,590,0.51,33007,-1277,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1600,PE,197.77,199.75,196.07,199.59,199.59,1294,64.57,7970,3570,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1620,CE,1.03,3.88,0.05,2.13,2.13,886,0.47,25001,2780,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1620,PE,215.52,219.86,213.4,217.46,217.46,1896,103.08,7278,-3957,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1640,CE,4.78,7.13,2.08,3.29,3.29,1132,0.93,1753,-4081,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1640,PE,239.73,240.78,237.54,239.48,239.48,1867,111.78,40444,3480,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1660,CE,2.68,6.4,2.55,3.69,3.69,2227,2.05,2653,1651,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1660,PE,256.21,260.31,255.9,257.57,257.57,2559,164.78,37105,-1769,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1680,CE,0.03,3.05,0.05,1.23,1.23,2677,0.82,28213,-2139,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1680,PE,277.18,280.8,274.2,278.92,278.92,2007,139.95,47884,3821,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1700,CE,2.05,4.29,0.05,0.67,0.67,2735,0.46,30654,-2127,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1700,PE,296.16,298.44,296.04,297.74,297.74,1424,106.0,46554,-687,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1300,CE,116.06,118.66,114.75,117.0,117.0,2193,64.15,18386,-157,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1300,PE,13.96,14.61,9.46,12.1,12.1,112,0.34,12126,-735,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1320,CE,103.5,104.11,101.65,102.13,102.13,1388,35.44,13578,1368,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1320,PE,7.3,11.06,5.41,8.34,8.34,2887,6.02,44596,3787,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1340,CE,77.27,79.36,73.34,75.91,75.91,1840,34.92,48488,-1169,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1340,PE,13.25,14.66,11.38,14.02,14.02,368,1.29,38041,-2190,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1360,CE,48.35,50.56,45.56,50.24,50.24,1462,18.36,10295,-4530,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1360,PE,2.51,5.89,2.38,3.96,3.96,327,0.32,49285,-4236,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1380,CE,29.37,30.46,26.56,29.01,29.01,2236,16.22,44526,-3920,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1380,PE,25.33,27.46,23.16,24.31,24.31,1059,6.44,14482,-1672,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1400,CE,8.79,13.19,6.35,10.65,10.65,2647,7.05,6732,-292,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1400,PE,14.68,18.53,12.74,16.15,16.15,1256,5.07,21915,513,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1420,CE,12.13,14.82,11.28,14.05,14.05,2981,10.47,25118,256,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1420,PE,39.02,40.45,37.75,38.61,38.61,176,1.7,28061,-4489,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1440,CE,14.22,15.26,11.02,13.13,13.13,2253,7.4,38099,-1452,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1440,PE,56.78,58.5,54.61,55.47,55.47,1836,25.46,1085,3577,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1460,CE,8.22,11.15,7.16,7.17,7.17,2060,3.69,7271,3052,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1460,PE,74.58,77.48,71.5,73.28,73.28,2160,39.57,18077,4470,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1480,CE,18.98,20.49,16.88,19.85,19.85,2091,10.38,11865,-3200,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1480,PE,96.98,98.45,92.94,95.91,95.91,2348,56.3,7852,351,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1500,CE,7.76,9.33,5.09,8.15,8.15,402,0.82,28664,-4588,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1500,PE,103.78,105.85,102.15,104.57,104.57,750,19.61,25858,-1174,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1520,CE,13.79,17.06,11.72,15.28,15.28,2529,9.66,43355,-4445,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1520,PE,122.46,123.62,119.93,123.15,123.15,2761,85.0,37289,297,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1540,CE,3.59,6.15,1.85,3.83,3.83,566,0.54,22892,2569,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1540,PE,146.38,147.9,144.79,145.59,145.59,2930,106.64,41457,-2468,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1560,CE,10.46,12.63,6.75,8.56,8.56,1477,3.16,11546,-1130,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1560,PE,159.62,163.79,157.43,160.86,160.86,466,18.74,11787,-3335,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1580,CE,1.28,3.12,0.37,2.68,2.68,1268,0.85,29503,-514,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1580,PE,179.4,179.72,178.23,178.85,178.85,1640,73.33,31403,-4445,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1600,CE,2.35,3.66,0.26,0.93,0.93,2640,0.61,20412,2590,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1600,PE,196.18,199.36,196.16,197.15,197.15,1042,51.36,29182,4404,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1620,CE,4.44,6.98,1.85,3.85,3.85,2722,2.62,43053,4564,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1620,PE,222.11,224.03,220.03,221.39,221.39,1332,73.72,18026,-3397,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1640,CE,4.42,6.65,2.28,5.45,5.45,690,0.94,17387,1939,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1640,PE,237.55,242.05,236.0,239.47,239.47,2757,165.05,12997,374,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1660,CE,4.4,6.32,1.48,4.85,4.85,206,0.25,17464,3902,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1660,PE,258.95,261.8,257.49,258.09,258.09,1476,95.24,7624,4413,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1680,CE,2.0,4.61,1.95,3.18,3.18,1565,1.24,35189,617,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1680,PE,280.88,281.51,277.04,279.09,279.09,1657,115.61,34671,-2995,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1700,CE,5.05,6.96,3.83,4.59,4.59,1614,1.85,27193,-3993,04-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1700,PE,296.7,298.29,294.61,297.03,297.03,1492,110.79,39022,-656,04-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1300,CE,109.89,111.88,107.03,110.68,110.68,946,26.18,26687,2571,05-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1300,PE,2.67,6.48,0.24,4.15,4.15,2648,2.75,13659,2686,05-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1320,CE,98.87,101.31,97.55,97.99,97.99,2778,68.05,42864,1771,05-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1320,PE,7.23,9.69,6.85,8.05,8.05,1972,3.97,24248,-1225,05-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1340,CE,73.31,74.57,72.03,73.81,73.81,811,14.96,32560,-4956,05-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1340,PE,15.14,16.21,11.98,13.94,13.94,1362,4.75,32427,2944,05-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1360,CE,57.63,59.61,55.99,57.08,57.08,1291,18.42,26238,-4066,05-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1360,PE,4.12,5.09,1.03,3.86,3.86,2223,2.15,23619,4542,05-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1380,CE,28.73,33.54,26.76,30.68,30.68,1074,8.24,40859,-3337,05-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1380,PE,14.4,14.96,11.62,12.98,12.98,675,2.19,14666,1594,05-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1400,CE,24.63,28.63,22.8,25.96,25.96,420,2.73,44808,3986,05-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1400,PE,19.56,20.15,16.12,18.2,18.2,2224,10.12,6152,2185,05-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1420,CE,14.11,16.0,12.85,15.64,15.64,620,2.42,32014,3078,05-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1420,PE,25.73,28.51,23.63,25.79,25.79,1059,6.83,33648,-2303,05-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1440,CE,13.49,13.51,9.52,12.04,12.04,1966,5.92,46605,4217,05-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1440,PE,42.81,45.02,41.53,43.62,43.62,2818,30.73,5941,-2043,05-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1460,CE,13.01,13.1,10.64,12.47,12.47,2845,8.87,49269,414,05-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1460,PE,65.86,68.93,63.59,67.48,67.48,641,10.81,3221,-1505,05-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1480,CE,12.85,13.87,9.76,12.35,12.35,1549,4.78,23368,2774,05-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1480,PE,85.74,88.48,84.67,85.52,85.52,1450,31.0,28681,-879,05-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1500,CE,10.21,11.09,6.42,8.9,8.9,1703,3.79,22870,3253,05-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1500,PE,108.11,109.14,106.01,106.62,106.62,2066,55.07,8728,421,05-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1520,CE,4.65,5.03,0.88,3.8,3.8,408,0.39,3624,1535,05-MAY-2026
